@GEOTOOLS_BEGIN
 # -----------------------------------------------------------------------------
 # CSV-Datei für den Import in eine Excel-Tabellenvorlage mit Add-In Geotools
 # => Die Vorlage sollte Koordinatenfelder enthalten (GK.Y, GK.X, GK.Z)
 # -----------------------------------------------------------------------------
 
 @DataImportOptions
   # Unnötige Operationen vermeiden
   EditModule_Differences = false
   EditModule_RailCooTransfo = false
   
 @Metadata
   # Beschreibende Daten für den Tabellenkopf
   x.Statistik.Programm = BeispielProgrammname
   # Projektdaten
   Prj.AuftragNr = AuftragID
   Prj.KooSystem = lokal
   
 @ExcelTableProps
   # Einstellungen für Excel-Tabelle
   Class    = KV_A
   AutoSave = false
   
@GEOTOOLS_END
Pkt.Nr,GK.Y..m,GK.X..m,GK.Z..m,Pkt.Erl.L
60002,4567027.20710,5636657.44090,315.95200,"PP 2"
60003,4566953.03140,5636670.79320,314.54160,"PP_3"
60004,4566891.15760,5636684.58460,313.06590,"PP__4"
60290,4567144.59770,5636686.24450,324.78730,"PV 0/29"
60300,4567143.42020,5636698.01710,324.64810,"PV 0/30"
60310,4567092.74060,5636682.55230,324.23750,"0/31"
60320,4567092.23210,5636694.30790,324.19200,"PV 0/32"
1002,4567144.52290,5636690.33470,324.44920,"u=114"
1004,4567141.54120,5636689.96560,324.42180,"u=114"
1006,4567138.56120,5636689.61630,324.39640,"u=112"
1008,4567135.57050,5636689.28150,324.36590,"u=112"
1010,4567132.58330,5636688.96670,324.33660,"u=112"
1012,4567129.59350,5636688.67130,324.31020,"u=112"
1014,4567126.60160,5636688.39260,324.28360,"u=112"
1016,4567123.61070,5636688.13420,324.25330,"u=112"
1018,4567120.61570,5636687.89180,324.22440,"u=112"
1020,4567117.62230,5636687.66850,324.19600,"u=112"
1022,4567114.62050,5636687.46100,324.16800,"u=112"
